variant,l1i_size,l1d_size,l2_size,l1_assoc,l2_assoc,sim_ticks,ipc,cpi,l1d_miss_rate,l1i_miss_rate,l2_miss_rate,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
simple,32KiB,64KiB,1MB,8,4,4364920412000,0.271868,3.678254,0.019452,0.0,0.541265,0.9805479593406365,0.9999997406866152,0.4587353598819271,6102925,3303527
simple,32KiB,64KiB,256KiB,8,4,4480507804000,0.264855,3.775658,0.019452,0.0,0.752704,0.9805479593406365,0.9999997406866152,0.24729619754662563,6102925,4594014
simple,32KiB,32KiB,256KiB,16,16,4522561201000,0.262392,3.811096,0.021642,0.0,0.710813,0.9783583905926416,0.9999997406866152,0.289187428731152,6789885,4826637
chunked,32KiB,32KiB,1MB,16,16,4245327200000,0.273841,3.65176,0.020486,0.0,0.469087,0.9795138986202219,0.9999997222795242,0.5309129626558914,6301619,2956217
chunked,32KiB,64KiB,1MB,8,4,4220167244000,0.275473,3.630118,0.01819,0.0,0.523669,0.9818096802902482,0.9999997222795242,0.4763309453825963,5595426,2930385
chunked,32KiB,32KiB,512KiB,8,8,4305780443000,0.269996,3.703761,0.020408,0.0,0.574085,0.9795924962747388,0.9999997222795242,0.4259148936712474,6277442,3604042
chunked,32KiB,128KiB,1MB,16,16,4201311367000,0.276709,3.613899,0.016055,0.0,0.598394,0.983944596355011,0.9999997222795242,0.4016063858605974,4938716,2955563
chunked,32KiB,128KiB,256KiB,16,16,4324165034000,0.268848,3.719575,0.016055,0.0,0.865585,0.983944596355011,0.9999997222795242,0.13441450189323614,4938716,4275267
chunked,32KiB,64KiB,1MB,4,4,4219904864000,0.27549,3.629893,0.018127,0.0,0.525499,0.9818730148439686,0.9999997210171584,0.47450125457464254,5575944,2930387
chunked,32KiB,32KiB,512KiB,4,8,4305194344000,0.270033,3.703257,0.020317,0.0,0.576652,0.979683343421013,0.9999997210171584,0.42334788546139207,6249497,3604044
chunked,32KiB,32KiB,512KiB,8,16,4306941362000,0.269923,3.70476,0.020408,0.0,0.575845,0.9795924962747388,0.9999997222795242,0.4241552254516168,6277442,3615089
chunked,32KiB,128KiB,256KiB,8,8,4323098318000,0.268914,3.718658,0.01603,0.0,0.865061,0.9839704412221744,0.9999997222795242,0.1349386317197476,4930766,4265801
chunked,32KiB,64KiB,512KiB,8,8,4283990053000,0.271369,3.685018,0.01819,0.0,0.644047,0.9818096802902482,0.9999997222795242,0.3559534599790703,5595426,3604002
chunked,32KiB,64KiB,512KiB,4,16,4284467184000,0.271339,3.685428,0.018127,0.0,0.648166,0.9818730148439686,0.9999997210171584,0.35183376634928104,5575944,3614429
chunked,32KiB,128KiB,1MB,8,16,4201213864000,0.276716,3.613815,0.01603,0.0,0.599358,0.9839704412221744,0.9999997222795242,0.4006416678090498,4930766,2955563
chunked,32KiB,128KiB,512KiB,16,16,4262265531000,0.272752,3.666331,0.016055,0.0,0.731837,0.983944596355011,0.9999997222795242,0.26816330381550557,4938716,3614660
chunked,32KiB,128KiB,1MB,8,8,4200608069000,0.276756,3.613294,0.01603,0.0,0.597256,0.9839704412221744,0.9999997222795242,0.4027439907268233,4930766,2945196
chunked,32KiB,128KiB,512KiB,4,16,4261954044000,0.272772,3.666063,0.015978,0.0,0.735406,0.9840224365436097,0.9999997210171584,0.26459364992818224,4914772,3614684
chunked,32KiB,32KiB,256KiB,16,8,4368894835000,0.266095,3.758051,0.020486,0.0,0.677019,0.9795138986202219,0.9999997222795242,0.3229809594156836,6301619,4266618
chunked,32KiB,128KiB,256KiB,4,8,4322740428000,0.268936,3.71835,0.015978,0.0,0.867775,0.9840224365436097,0.9999997210171584,0.1322250072224641,4914772,4265305
chunked,32KiB,128KiB,512KiB,16,4,4261357594000,0.27281,3.66555,0.016055,0.0,0.726438,0.983944596355011,0.9999997222795242,0.27356179044137446,4938716,3587996
chunked,32KiB,64KiB,512KiB,4,8,4283598185000,0.271394,3.684681,0.018127,0.0,0.646297,0.9818730148439686,0.9999997210171584,0.3537032547209737,5575944,3604004
chunked,32KiB,64KiB,1MB,16,16,4223135161000,0.27528,3.632671,0.018237,0.0,0.526943,0.9817634488618293,0.9999997222795242,0.4730573985137145,5609647,2956197
chunked,32KiB,64KiB,512KiB,16,4,4282741536000,0.271448,3.683944,0.018237,0.0,0.639561,0.9817634488618293,0.9999997222795242,0.36043912284520063,5609647,3587996
chunked,32KiB,128KiB,1MB,4,8,4200461331000,0.276765,3.613168,0.015978,0.0,0.5992,0.9840224365436097,0.9999997210171584,0.40080037109224004,4914772,2945198
chunked,32KiB,128KiB,256KiB,4,16,4323246257000,0.268905,3.718785,0.015978,0.0,0.868683,0.9840224365436097,0.9999997210171584,0.13131680779293703,4914772,4269769
chunked,32KiB,32KiB,1MB,4,16,4244137957000,0.273917,3.650738,0.020317,0.0,0.472999,0.979683343421013,0.9999997210171584,0.5270007976070189,6249497,2956219
chunked,32KiB,32KiB,1MB,4,4,4241309265000,0.2741,3.648304,0.020317,0.0,0.468869,0.979683343421013,0.9999997210171584,0.5311307539506348,6249497,2930407
chunked,32KiB,32KiB,256KiB,8,16,4369248925000,0.266074,3.758356,0.020408,0.0,0.681131,0.9795924962747388,0.9999997222795242,0.3188685430514211,6277442,4276067
chunked,32KiB,32KiB,256KiB,8,4,4366531168000,0.266239,3.756018,0.020408,0.0,0.677377,0.9795924962747388,0.9999997222795242,0.3226234682746809,6277442,4252494
chunked,32KiB,64KiB,256KiB,4,16,4345709101000,0.267515,3.738107,0.018127,0.0,0.766874,0.9818730148439686,0.9999997210171584,0.2331263655783166,5575944,4276388
chunked,32KiB,64KiB,256KiB,16,4,4344983352000,0.26756,3.737483,0.018237,0.0,0.757993,0.9817634488618293,0.9999997222795242,0.24200650506150254,5609647,4252414
chunked,32KiB,32KiB,1MB,8,4,4241853558000,0.274065,3.648772,0.020408,0.0,0.466782,0.9795924962747388,0.9999997222795242,0.533218018543816,6277442,2930405
chunked,32KiB,32KiB,256KiB,4,4,4365969411000,0.266274,3.755535,0.020317,0.0,0.680405,0.979683343421013,0.9999997210171584,0.3195946524329414,6249497,4252496
chunked,32KiB,32KiB,512KiB,16,8,4306365180000,0.269959,3.704264,0.020486,0.0,0.571883,0.9795138986202219,0.9999997222795242,0.4281172917131131,6301619,3604042
chunked,32KiB,32KiB,1MB,16,4,4242531705000,0.274021,3.649356,0.020486,0.0,0.464991,0.9795138986202219,0.9999997222795242,0.535008763000699,6301619,2930405
chunked,32KiB,128KiB,1MB,16,8,4200741637000,0.276747,3.613409,0.016055,0.0,0.596295,0.983944596355011,0.9999997222795242,0.4037053249113918,4938716,2945196
chunked,32KiB,32KiB,512KiB,16,16,4307558492000,0.269884,3.705291,0.020486,0.0,0.573636,0.9795138986202219,0.9999997222795242,0.4263643742170225,6301619,3615089
chunked,32KiB,128KiB,256KiB,16,4,4323086693000,0.268915,3.718648,0.016055,0.0,0.860642,0.983944596355011,0.9999997222795242,0.1393578505827507,4938716,4250851
chunked,32KiB,64KiB,256KiB,8,4,4344658721000,0.26758,3.737204,0.01819,0.0,0.75992,0.9818096802902482,0.9999997222795242,0.240080187681205,5595426,4252414
chunked,32KiB,64KiB,1MB,16,4,4220465473000,0.275454,3.630375,0.018237,0.0,0.522342,0.9817634488618293,0.9999997222795242,0.477658391759281,5609647,2930385
chunked,32KiB,128KiB,512KiB,8,4,4261161850000,0.272823,3.665381,0.01603,0.0,0.727609,0.9839704412221744,0.9999997222795242,0.27239064148935394,4930766,3587996
