l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,sim_ticks,sim_seconds,cpi,ipc,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
16kB,32kB,256kB,8,8,4,1049887148000,1.049887,4.781785,0.209127,0.4994755123227624,0.9999988166510437,0.9746996964977263,16928050,428293
16kB,32kB,256kB,8,8,8,1074179011000,1.074179,4.892424,0.204398,0.4994755123227624,0.9999988166510437,0.9583144252365879,16928050,705669
16kB,32kB,256kB,8,8,16,1123292766000,1.123293,5.116116,0.195461,0.4994755123227624,0.9999988166510437,0.9254531474789014,16928050,1261957
16kB,32kB,512kB,2,2,4,1025214315000,1.025214,4.669411,0.21416,0.49401795466629933,0.9999987611815614,0.9986465818580729,17112628,23161
16kB,32kB,512kB,2,2,8,1025206495000,1.025206,4.669375,0.214161,0.49401795466629933,0.9999987611815614,0.9986465818580729,17112628,23161
16kB,32kB,512kB,2,2,16,1025203589000,1.025204,4.669362,0.214162,0.49401795466629933,0.9999987611815614,0.9986465818580729,17112628,23161
16kB,32kB,512kB,4,4,4,1016872769000,1.016873,4.631418,0.215917,0.4994745661545028,0.9999988129530782,0.9986320035901783,16928082,23158
16kB,32kB,512kB,4,4,8,1016861480000,1.016861,4.631367,0.215919,0.4994745661545028,0.9999988129530782,0.9986320035901783,16928082,23158
16kB,32kB,512kB,4,4,16,1016861814000,1.016862,4.631369,0.215919,0.4994745661545028,0.9999988129530782,0.9986320035901783,16928082,23158
16kB,32kB,512kB,8,8,4,1016871897000,1.016872,4.631414,0.215917,0.4994755123227624,0.9999988166510437,0.9986320599958389,16928050,23157
16kB,32kB,512kB,8,8,8,1016861259000,1.016861,4.631366,0.215919,0.4994755123227624,0.9999988166510437,0.9986320599958389,16928050,23157
16kB,32kB,512kB,8,8,16,1016860957000,1.016861,4.631365,0.215919,0.4994755123227624,0.9999988166510437,0.9986320599958389,16928050,23157
16kB,32kB,1MB,2,2,4,1024367204000,1.024367,4.665552,0.214337,0.49401795466629933,0.9999987611815614,0.9992495748983797,17112628,12842
16kB,32kB,1MB,2,2,8,1024367204000,1.024367,4.665552,0.214337,0.49401795466629933,0.9999987611815614,0.9992495748983797,17112628,12842
16kB,32kB,1MB,2,2,16,1024367204000,1.024367,4.665552,0.214337,0.49401795466629933,0.9999987611815614,0.9992495748983797,17112628,12842
16kB,32kB,1MB,4,4,4,1016043139000,1.016043,4.62764,0.216093,0.4994745661545028,0.9999988129530782,0.9992413934754759,16928082,12842
16kB,32kB,1MB,4,4,8,1016043139000,1.016043,4.62764,0.216093,0.4994745661545028,0.9999988129530782,0.9992413934754759,16928082,12842
16kB,32kB,1MB,4,4,16,1016043139000,1.016043,4.62764,0.216093,0.4994745661545028,0.9999988129530782,0.9992413934754759,16928082,12842
16kB,32kB,1MB,8,8,4,1016042311000,1.016042,4.627636,0.216093,0.4994755123227624,0.9999988166510437,0.9992413919966561,16928050,12842
16kB,32kB,1MB,8,8,8,1016042311000,1.016042,4.627636,0.216093,0.4994755123227624,0.9999988166510437,0.9992413919966561,16928050,12842
16kB,32kB,1MB,8,8,16,1016042311000,1.016042,4.627636,0.216093,0.4994755123227624,0.9999988166510437,0.9992413919966561,16928050,12842
16kB,64kB,128kB,2,2,4,2283670824000,2.283671,10.401139,0.096143,0.49403288638414494,0.9999987611815614,0.010822814391056063,17112123,16927257
16kB,64kB,128kB,2,2,8,2283514241000,2.283514,10.400426,0.09615,0.49403288638414494,0.9999987611815614,0.010935948316495896,17112123,16925321
16kB,64kB,128kB,2,2,16,2283557789000,2.283558,10.400624,0.096148,0.49403288638414494,0.9999987611815614,0.010911930732117915,17112123,16925732
16kB,64kB,128kB,4,4,4,2275213092000,2.275213,10.362618,0.096501,0.49949774727686125,0.9999988129530782,9.830086598691381e-05,16927298,16925959
16kB,64kB,128kB,4,4,8,2275222743000,2.275223,10.362662,0.0965,0.49949774727686125,0.9999988129530782,6.551421897805735e-05,16927298,16926514
16kB,64kB,128kB,4,4,16,2275192085000,2.275192,10.362522,0.096502,0.49949774727686125,0.9999988129530782,0.00010887529808526572,16927298,16925780
16kB,64kB,128kB,8,8,4,2275304864000,2.275305,10.363036,0.096497,0.49950484353880764,0.9999988166510437,1.7604612455724106e-05,16927058,16927084
16kB,64kB,128kB,8,8,8,2275183313000,2.275183,10.362482,0.096502,0.49950484353880764,0.9999988166510437,7.792108667483253e-05,16927058,16926063
16kB,64kB,128kB,8,8,16,2275223761000,2.275224,10.362666,0.0965,0.49950484353880764,0.9999988166510437,6.262043356734077e-05,16927058,16926322
16kB,64kB,256kB,2,2,4,1058208996000,1.058209,4.819687,0.207482,0.49403288638414494,0.9999987611815614,0.9749716317850698,17112123,428297
16kB,64kB,256kB,2,2,8,1082503105000,1.082503,4.930336,0.202826,0.49403288638414494,0.9999987611815614,0.9587626257402354,17112123,705673
16kB,64kB,256kB,2,2,16,1127567179000,1.127567,5.135584,0.19472,0.49403288638414494,0.9999987611815614,0.928899710631936,17112123,1216701
16kB,64kB,256kB,4,4,4,1049871869000,1.049872,4.781715,0.20913,0.49949774727686125,0.9999988129530782,0.9746985149657457,16927298,428294
16kB,64kB,256kB,4,4,8,1074179126000,1.074179,4.892424,0.204398,0.49949774727686125,0.9999988129530782,0.9583125167662347,16927298,705670
16kB,64kB,256kB,4,4,16,1123277343000,1.123277,5.116046,0.195463,0.49949774727686125,0.9999988129530782,0.9254497811063018,16927298,1261958
16kB,64kB,256kB,8,8,4,1049863989000,1.049864,4.781679,0.209132,0.49950484353880764,0.9999988166510437,0.974698213817116,16927058,428293
16kB,64kB,256kB,8,8,8,1074179011000,1.074179,4.892424,0.204398,0.49950484353880764,0.9999988166510437,0.9583119823254417,16927058,705669
16kB,64kB,256kB,8,8,16,1123175972000,1.123176,5.115584,0.195481,0.49950484353880764,0.9999988166510437,0.9254487787893013,16927058,1261957
16kB,64kB,512kB,2,2,4,1025193101000,1.025193,4.669314,0.214164,0.49403288638414494,0.9999987611815614,0.9986465419178141,17112123,23161
16kB,64kB,512kB,2,2,8,1025185158000,1.025185,4.669278,0.214166,0.49403288638414494,0.9999987611815614,0.9986465419178141,17112123,23161
16kB,64kB,512kB,2,2,16,1025183472000,1.025183,4.66927,0.214166,0.49403288638414494,0.9999987611815614,0.9986465419178141,17112123,23161
16kB,64kB,512kB,4,4,4,1016871841000,1.016872,4.631414,0.215917,0.49949774727686125,0.9999988129530782,0.9986319402316557,16927298,23158
16kB,64kB,512kB,4,4,8,1016861480000,1.016861,4.631367,0.215919,0.49949774727686125,0.9999988129530782,0.9986319402316557,16927298,23158
16kB,64kB,512kB,4,4,16,1016861259000,1.016861,4.631366,0.215919,0.49949774727686125,0.9999988129530782,0.9986319402316557,16927298,23158
16kB,64kB,512kB,8,8,4,1016871788000,1.016872,4.631414,0.215917,0.49950484353880764,0.9999988166510437,0.9986319798300765,16927058,23157
16kB,64kB,512kB,8,8,8,1016861259000,1.016861,4.631366,0.215919,0.49950484353880764,0.9999988166510437,0.9986319798300765,16927058,23157
